num,account,scheduled_time,category,char_count,status,body
1,AIxマーケ,2026-03-13 07:00,グロース分析：Midjourney,188,draft,"Midjourney、外部資金ゼロで年商5億ドル。\n\nマーケ費用もほぼゼロ。\n\nどうやったか？\n\n① Discordに「生成結果が全員に見える」仕組みを作った\n② 他人の生成画像がそのまま「広告」になった\n③ 口コミだけで3,000万ユーザー突破\n\n学び：\n**「使うこと＝宣伝すること」になるプロダクト設計が最強。**\n\n広告費をかける前に、プロダクト自体をバイラルにせよ。"
2,AIxマーケ,2026-03-13 08:00,グロース分析：Notion,236,draft,Notionが$10B企業になった3つの戦略。\n\n① ボトムアップPLG\n→ 学生・個人クリエイターを無料で獲得\n→ 彼らが会社に持ち込む→チーム課金\n\n② テンプレートエコシステム\n→ ユーザーが作ったテンプレートが新規ユーザーを呼ぶ\n→ コンテンツマーケを「ユーザーに外注」\n\n③ AI機能を既存プロダクトに自然統合\n→ Notion AI = 新規プロダクトじゃなく「既存機能の拡張」\n\n個人開発者への教訓：\n**まず個人ユーザーを掴め。企業は後からついてくる。**
3,AIxマーケ,2026-03-13 09:30,グロース分析：ChatGPT,206,draft,ChatGPTが史上最速で1億ユーザーに到達した理由。\n\n① 「無料で使える」のインパクト\n→ 初期は完全無料で参入障壁ゼロ\n\n② 「みんなが試した結果をシェアする」バイラルループ\n→ TwitterでChatGPTの面白回答が拡散→新規ユーザー流入\n\n③ シンプルなUI\n→ 検索窓1つ。迷う要素がゼロ。\n\n個人開発者が参考にできること：\n**「無料 × シンプル × シェアしたくなる」の三拍子を揃えろ。**
4,AIxマーケ,2026-03-13 11:00,グロース分析：Jasper AI vs Copy.ai,221,draft,JasperとCopy.ai、明暗が分かれた理由。\n\nJasper：\n✅ エンタープライズにピボット\n✅ ブランドボイス機能で差別化\n✅ マーケチーム向けに特化\n→ 生き残った\n\nCopy.ai：\n✅ GTMワークフロー全体をAI化\n✅ 「ライティングツール」から「営業＆マーケ自動化」へ転換\n→ 生き残った\n\n共通点：\n**ChatGPTと正面から戦わず、特定ユースケースに深く刺した。**\n\n教訓：\n汎用AIと戦うな。ニッチを深堀りしろ。
5,AIxマーケ,2026-03-13 12:00,グロース分析：Canva,258,draft,Canvaが1.7億ユーザーに達したPLGの教科書。\n\n7つのレイヤー：\n① 無料プランで十分使える（フリーミアム）\n② テンプレートが検索流入を生む（SEO）\n③ 作った画像にCanvaロゴ→自然な認知拡大\n④ チーム招待で組織に浸透\n⑤ AI機能追加で有料転換率UP\n⑥ 教育機関に無料提供→若年層を囲い込み\n⑦ マーケットプレイスでクリエイターエコノミー\n\n個人開発者向けTips：\n**全部真似する必要はない。まず①②③だけでも強い。**\n\n---\n\n# ■ カテゴリ2: AI × マーケティング（5投稿）
6,AIxマーケ,2026-03-13 13:00,AI×マーケ：総論,196,draft,2026年のマーケターの95%がAI投資を増やすと回答。\n（Jasper調べ）\n\n66%がマーケ予算の10%以上をAIに割く予定。\n\nでも問題は「何に使うか」が定まってない企業が多いこと。\n\n優先度の高い3つの活用：\n① コンテンツ制作の自動化（最も投資対効果が高い）\n② 顧客データの分析・セグメンテーション\n③ パーソナライズドメール配信\n\n迷ったら①から始めろ。一番ROIが見えやすい。
7,AIxマーケ,2026-03-13 14:30,AI×マーケ：コンテンツ,269,draft,AIでコンテンツマーケを自動化する具体的なフロー。\n\nStep 1: キーワードリサーチ（ChatGPT / Gemini）\nStep 2: 記事構成の生成（Claude）\nStep 3: ドラフト作成（Jasper / Claude）\nStep 4: ファクトチェック（人間）\nStep 5: SEO最適化（SurferSEO × AI）\nStep 6: SNS向け要約（ChatGPT）\n\n人間がやるべきは「Step 4のファクトチェック」と「最終判断」だけ。\n\n残りは全部AIに任せられる。\n**これで月30記事を1人で回せる。**
8,AIxマーケ,2026-03-13 16:00,AI×マーケ：広告,194,draft,AI広告運用、実際どこまでできるか。\n\n✅ できること：\n- 広告コピーのA/Bテスト案生成\n- ターゲットセグメントの提案\n- クリエイティブのバリエーション作成\n- レポートの自動要約\n\n❌ まだ人間が必要なこと：\n- 予算配分の最終判断\n- ブランド毀損リスクの判断\n- 競合の「空気感」を読む\n\n結論：\n**AIは「作業」を、人間は「判断」を。**\nこの分業ができたチームが勝つ。
9,AIxマーケ,2026-03-13 17:30,AI×マーケ：メール,181,draft,メールマーケにAIを使うとCVRが跳ねる。\n\n具体的に：\n① 件名のA/Bテスト → AIに50案出させて、上位5案をテスト\n② 送信時間の最適化 → 過去データからAIが最適時間を算出\n③ セグメント別の文面 → 属性ごとにパーソナライズ\n④ 離脱予測 → 解約しそうなユーザーに先手を打つ\n\n特に①が即効性ある。\n件名の開封率が2倍になるケースも珍しくない。
10,AIxマーケ,2026-03-13 18:30,AI×マーケ：SNS,237,draft,AIでSNS投稿を量産する人が増えてるけど、\n**量産しただけじゃ伸びない。**\n\n伸びるAI活用：\n✅ 過去のバズ投稿を分析→パターン抽出\n✅ 競合アカウントの投稿傾向をAIで分析\n✅ 下書きをAIで作り、人間が「味」を加える\n\n伸びないAI活用：\n❌ AIが書いたものをそのまま投稿\n❌ 毎日10投稿以上の量産\n❌ フォロワーとの会話をAIに丸投げ\n\n鍵は「AIの下書き × 人間の編集」。\n\n---\n\n# ■ カテゴリ3: プロダクトグロース / GTM戦略（5投稿）
11,AIxマーケ,2026-03-13 19:00,GTM：基本,239,draft,"個人開発者のためのGTM戦略、超シンプル版。\n\nPhase 1（0→100ユーザー）\n→ Twitter/Xで毎日発信＋Product Huntローンチ\n\nPhase 2（100→1,000ユーザー）\n→ SEOコンテンツ＋コミュニティ参加\n\nPhase 3（1,000→10,000ユーザー）\n→ テンプレート/プラグインで自然拡散\n\nPhase 4（10,000→）\n→ アフィリエイト＋パートナーシップ\n\nお金がないなら「時間」で殴れ。\nコンテンツとコミュニティは無料だ。"
12,AIxマーケ,2026-03-13 19:30,GTM：PLG,216,draft,PLG（Product-Led Growth）が個人開発者に最適な理由。\n\n① 営業チーム不要\n→ プロダクト自体がセールスする\n\n② マーケ費用最小\n→ 無料プランが最強の広告\n\n③ データが勝手に溜まる\n→ ユーザー行動からプロダクト改善できる\n\n④ 口コミが回る\n→ 良いプロダクト＝勝手に広がる\n\n2026年、ソフトウェアベンダーの80%以上がAIを組み込む（Gartner）。\nPLGにAI機能を載せれば、さらに加速する。
13,AIxマーケ,2026-03-13 20:00,GTM：価格設計,211,draft,個人開発SaaSの価格設計、失敗しないルール。\n\n① 無料プランは「使えるけど物足りない」レベルに\n→ 機能制限じゃなく「使用量制限」が吉\n\n② 有料プランは1つでいい\n→ 迷わせるな。「月額 $9」だけでOK\n\n③ 年額プランで20%オフ\n→ 年額はLTV向上の最強ツール\n\n④ エンタープライズは「お問い合わせ」\n→ 大企業は値段じゃなく「安心感」で買う\n\nシンプルに。迷ったら「Notionの料金ページ」を真似しろ。
14,AIxマーケ,2026-03-13 20:30,GTM：差別化,229,draft,「ChatGPTでできるじゃん」への最強の回答。\n\nそれ、全SaaS企業が直面してる問題。\n\n解決策は3つ：\n① ワークフロー特化\n→ 「汎用AI」ではなく「この業務のためだけのAI」にする\n\n② データ連携\n→ ユーザーの既存データと繋がることで、ChatGPTにはない文脈を持つ\n\n③ チーム機能\n→ 個人はChatGPTで十分。チームで使うなら専用ツールが必要。\n\nChatGPTが「スイスアーミーナイフ」なら、\nあなたのSaaSは「寿司包丁」であれ。
15,AIxマーケ,2026-03-13 21:00,GTM：ローンチ,238,draft,Product Huntで上位に入るための7つのコツ。\n\n① ローンチ日は火曜〜木曜\n② PST午前0時にローンチ（日本時間16時）\n③ ハンターに事前に声をかける\n④ GIFデモを必ず用意する\n⑤ 最初の1時間で30 upvote集める\n⑥ 全コメントに返信する\n⑦ SNSで同時告知\n\nあと、最も大事なこと：\n**ローンチは「スタート」であって「ゴール」じゃない。**\nローンチ後の改善と発信を続けろ。\n\n---\n\n# ■ カテゴリ4: X運用 / SNSマーケ（5投稿）
16,AIxマーケ,2026-03-13 21:30,X運用：基本,234,draft,"Xアカウントを0から伸ばす、2026年版ロードマップ。\n\n0→500フォロワー：\n→ 毎日3投稿。リプ営業20件/日。ジャンル特化。\n\n500→2,000：\n→ ノート投稿（長文）を週3回。価値提供の量を増やす。\n\n2,000→5,000：\n→ 企画（無料配布/アンケート）で一気にリーチ拡大。\n\n5,000→10,000：\n→ コラボ・引用RTの相互支援。コミュニティ形成。\n\n全フェーズ共通：\n**「情報量」で差をつけろ。薄い投稿を10個より、濃い投稿を3個。**"
17,AIxマーケ,2026-03-13 22:00,X運用：アルゴリズム,193,draft,2026年のXアルゴリズム、抑えるべき3つのポイント。\n\n① 滞在時間が最重要指標\n→ 長文ノート投稿が有利。スクロールさせろ。\n\n② 「いいね」より「ブックマーク」の重みが増加\n→ 「保存したくなる」投稿を作れ。\n\n③ 初速30分が勝負\n→ 投稿後30分のエンゲージメントでリーチが決まる。\n\n実践：\n投稿後30分は通知ONにして、全リプに返信。\nこれだけで表示回数が2〜3倍変わる。
